,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
1.05,1896.098152,1905.657723,1915.144556,1924.631389,1934.118222,1943.605055,1953.091888,1962.578721,1972.065553,1981.552386,1991.039219,2000.526052,2010.012885,2019.499718,2028.986551,2038.473384,2047.960217,2057.44705,2066.933883,2076.420716,2085.907549
3.15,5075.095632,5636.679619,5646.166452,5655.653285,5665.140118,5674.626951,5684.113784,5693.600617,5703.08745,5712.574283,5722.061116,5731.547949,5741.034782,5750.521615,5760.008448,5769.495281,5778.982114,5788.468947,5797.95578,5807.442613,5816.929446
5.25,6525.415691,8687.941131,9204.115304,9213.80744,9223.294273,9232.781106,9242.267939,9251.754772,9261.241605,9270.728438,9280.215271,9289.702104,9299.188937,9308.67577,9318.162603,9327.649436,9337.136269,9346.623102,9356.109935,9365.596768,9375.083601
7.35,7312.305409,10075.02398,11926.07904,12384.59346,12455.81482,12487.31833,12515.77883,12543.25386,12562.22753,12581.20119,12600.17486,12619.14853,12638.12219,12657.09586,12676.06952,12695.04319,12714.01686,12732.99052,12751.96419,12770.93785,12789.91152
9.45,7790.319711,10844.29562,13251.17947,14334.37539,14468.88017,14528.13387,14559.66614,14578.93381,14597.90748,14616.88114,14635.85481,14654.82848,14673.80214,14692.77581,14711.74947,14730.72314,14749.69681,14768.67047,14787.64414,14806.6178,14825.59147
11.55,8108.604893,11378.50631,14087.48737,15430.21569,15579.04365,15607.86657,15627.54352,15646.51719,15665.49085,15684.46452,15703.43818,15722.41185,15741.38552,15760.35918,15779.33285,15798.30651,15817.28018,15836.25385,15855.22751,15874.20118,15893.17484
13.65,8326.100099,11704.84344,14651.6199,16174.63989,16339.97556,16362.39585,16381.36952,16400.34318,16419.31685,16438.29052,16457.26418,16476.23785,16495.21151,16514.18518,16533.15885,16552.13251,16571.10618,16590.07984,16609.05351,16628.02718,16647.00084
15.75,8483.987055,11920.39296,15062.73429,16693.35296,16881.4288,16905.0521,16924.02576,16942.99943,16961.97309,16980.94676,16999.92043,17018.89409,17037.86776,17056.84142,17075.81509,17094.78876,17113.76242,17132.73609,17151.70975,17170.68342,17189.65709
17.85,8609.146946,12063.67532,15336.07561,17103.30315,17356.00117,17412.07229,17442.96384,17461.94945,17480.92312,17499.89679,17518.87045,17537.84412,17556.81778,17575.79145,17594.76511,17613.73878,17632.71245,17651.68611,17670.65978,17689.63344,17708.60711
19.95,8713.321894,12176.32324,15509.65763,17428.1407,17780.69123,17890.35328,17932.92047,17961.38097,17989.21915,18008.19282,18027.16648,18046.14015,18065.11381,18084.08748,18103.06115,18122.03481,18141.00848,18159.98214,18178.95581,18197.92948,18216.90314
22.05,8802.11184,12265.2562,15623.0343,17647.66559,18133.8838,18316.93355,18374.00429,18411.13804,18439.59853,18468.05903,18495.26294,18514.23661,18533.21027,18552.18394,18571.1576,18590.13127,18609.10494,18628.0786,18647.05227,18666.02593,18684.9996
