,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
1.05,1549.316275,1558.803108,1568.289941,1577.776774,1587.263607,1596.75044,1606.237273,1615.724106,1625.210939,1634.697771,1644.184604,1653.671437,1663.15827,1672.645103,1682.131936,1691.618769,1701.105602,1710.592435,1720.079268,1729.566101,1739.052934
3.15,4410.33902,4633.674677,4643.16151,4652.648343,4662.135176,4671.622009,4681.108841,4690.595674,4700.082507,4709.56934,4719.056173,4728.543006,4738.029839,4747.516672,4757.003505,4766.490338,4775.977171,4785.464004,4794.950837,4804.43767,4813.924503
5.25,5984.941957,7517.356497,7589.391098,7598.877931,7608.364764,7617.851597,7627.33843,7636.825263,7646.312096,7655.798929,7665.285761,7674.772594,7684.259427,7693.74626,7703.233093,7712.719926,7722.206759,7731.693592,7741.180425,7750.667258,7760.154091
7.35,6860.834887,9311.690582,10385.67224,10474.69632,10484.72335,10494.21018,10503.69702,10513.18385,10522.67068,10532.15752,10541.64435,10551.13118,10560.61801,10570.10485,10579.59168,10589.07851,10598.56535,10608.05218,10617.53901,10627.02585,10636.51268
9.45,7412.237993,10239.05495,12227.32188,12820.88071,12902.67834,12935.18086,12955.01913,12973.99279,12992.96646,13011.94013,13030.91379,13049.88746,13068.86112,13087.83479,13106.80846,13125.78212,13144.75579,13163.72945,13182.70312,13201.67679,13220.65045
11.55,7787.947035,10840.31029,13244.88467,14325.8091,14459.97225,14518.87218,14551.28838,14571.06161,14590.03528,14609.00894,14627.98261,14646.95627,14665.92994,14684.90361,14703.87727,14722.85094,14741.8246,14760.79827,14779.77194,14798.7456,14817.71927
13.65,8057.444739,11294.54895,13960.12035,15259.40441,15396.21937,15416.06241,15435.03608,15454.00975,15472.98341,15491.95708,15510.93074,15529.90441,15548.87808,15567.85174,15586.82541,15605.79907,15624.77274,15643.74641,15662.72007,15681.69374,15700.6674
15.75,8253.675149,11602.91158,14458.69835,15932.97759,16097.41392,16134.38808,16153.36174,16172.33541,16191.30908,16210.28274,16229.25641,16248.23007,16267.20374,16286.17741,16305.15107,16324.12474,16343.0984,16362.07207,16381.04573,16400.0194,16418.99307
17.85,8402.14529,11810.99662,14852.0789,16423.97416,16591.88985,16610.86352,16629.83718,16648.81085,16667.78451,16686.75818,16705.73185,16724.70551,16743.67918,16762.65284,16781.62651,16800.60017,16819.57384,16838.54751,16857.52117,16876.49484,16895.4685
19.95,8519.22933,11964.55221,15149.8232,16808.34333,17010.05451,17041.24672,17060.22039,17079.19405,17098.16772,17117.14139,17136.11505,17155.08872,17174.06238,17193.03605,17212.00971,17230.98338,17249.95705,17268.93071,17287.90438,17306.87804,17325.85171
22.05,8618.051248,12073.43144,15352.10361,17132.51796,17392.07627,17451.03299,17482.58781,17503.02708,17522.00075,17540.97441,17559.94808,17578.92175,17597.89541,17616.86908,17635.84274,17654.81641,17673.79008,17692.76374,17711.73741,17730.71107,17749.68474
24.15,8703.385638,12166.34553,15495.03195,17398.38816,17739.60908,17842.46926,17885.30164,17913.76214,17939.69921,17958.67287,17977.64654,17996.6202,18015.59387,18034.56754,18053.5412,18072.51487,18091.48853,18110.4622,18129.43587,18148.40953,18167.3832
26.25,8777.739821,12240.98742,15595.18749,17600.59224,18037.36582,18201.08132,18254.00572,18288.90961,18317.37011,18345.83061,18367.77863,18386.75229,18405.72596,18424.69962,18443.67329,18462.64696,18481.62062,18500.59429,18519.56795,18538.54162,18557.51529
28.35,8844.656194,12307.60946,15670.93124,17719.46848,18292.96685,18515.08651,18580.64612,18612.15974,18640.62024,18669.08073,18697.54123,18725.0023,18743.97596,18762.94963,18781.92329,18800.89696,18819.87063,18838.84429,18857.81796,18876.79162,18895.76529
30.45,8903.899238,12366.59328,15733.02171,17798.80042,18506.15388,18784.71571,18871.60798,18905.33894,18933.79944,18962.25994,18990.72044,19019.18094,19047.64144,19067.82943,19086.8031,19105.77676,19124.75043,19143.72409,19162.69776,19181.67142,19200.64509
32.55,8956.919523,12419.61356,15782.62611,17847.71457,18630.70181,19025.03446,19129.34153,19176.12366,19212.70767,19241.16817,19264.45467,19283.42834,19302.402,19321.37567,19340.34933,19359.323,19371.79584,19381.28267,19390.76951,19400.25634,19409.74317
34.65,9005.056205,12467.75024,15827.60821,17882.55079,18712.27235,19201.07957,19325.08766,19370.16902,19398.62951,19420.75913,19439.7328,19458.70647,19472.10742,19481.59426,19491.08109,19500.56792,19510.05476,19519.54159,19529.02842,19538.51525,19548.00209
36.75,9049.436754,12512.13079,15868.89902,17908.58507,18761.87427,19322.00724,19492.99864,19539.48536,19565.99121,19576.94425,19586.43108,19595.91791,19605.40474,19614.89158,19624.37841,19633.86524,19643.35208,19652.83891,19662.32574,19671.81258,19681.29941
38.85,9090.669677,12553.36371,15907.02917,17927.59988,18789.24038,19399.64959,19632.52752,19685.58315,19697.49158,19706.97841,19716.46524,19725.95208,19735.43891,19744.92574,19754.41258,19763.89941,19773.38624,19782.87307,19792.35991,19801.84674,19811.33357
40.95,9129.069849,12591.76389,15942.37437,17944.68561,18807.95599,19445.70583,19716.67226,19809.09255,19825.03143,19834.51826,19844.00509,19853.49192,19862.97876,19872.46559,19881.95242,19891.43926,19900.92609,19910.41292,19919.89976,19929.38659,19938.87342
43.05,9164.999186,12627.69322,15975.41757,17960.77541,18822.96461,19472.78063,19783.39868,19899.09813,19935.20555,19950.44835,19959.93518,19969.42201,19978.90884,19988.39568,19997.88251,20007.36934,20016.85618,20026.34301,20035.82984,20045.31668,20054.80351
45.15,9198.298096,12660.99213,16006.24852,17975.87457,18835.74546,19488.79928,19828.61234,19969.77314,20010.68425,20032.20366,20051.17732,20063.30223,20072.78907,20082.2759,20091.76273,20101.24957,20110.7364,20120.22323,20129.71007,20139.1969,20148.68373
47.25,9229.34829,12692.04233,16034.89765,17989.89857,18847.60755,19500.90184,19858.36639,20029.05015,20067.25359,20086.22726,20103.64322,20113.13005,20122.61689,20132.10372,20141.59055,20151.07739,20160.56422,20170.05105,20179.53788,20189.02472,20198.51155
49.35,9258.090169,12720.78421,16061.16354,18002.69967,18858.35735,19509.92452,19872.44147,20070.59096,20109.40035,20128.37401,20141.1838,20150.67063,20160.15746,20169.64429,20179.13113,20188.61796,20198.10479,20207.59163,20217.07846,20226.56529,20236.05213
51.45,9285.153087,12747.84712,16085.79324,18014.73458,18868.40261,19517.08856,19881.16965,20099.99344,20150.62934,20169.19352,20178.68035,20188.16718,20197.65402,20207.14085,20216.62768,20226.11451,20235.60135,20245.08818,20254.57501,20264.06185,20273.54868
53.55,9311.155904,12773.84994,16109.5074,18026.44897,18878.05209,19524.19774,19889.47333,20116.24301,20185.4385,20204.47846,20213.96529,20223.45213,20232.93896,20242.42579,20251.91263,20261.39946,20270.88629,20275.96449,20275.96449,20275.96449,20275.96449
55.65,9335.791821,12798.48586,16131.93684,18037.73288,18887.26374,19530.85052,19894.80165,20123.70018,20205.36894,20233.03932,20242.52615,20252.01298,20261.49982,20270.98665,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
57.75,9359.377977,12822.07201,16153.31787,18048.67056,18896.17768,19537.16158,19898.90325,20129.38527,20218.57167,20249.28244,20262.83767,20272.3245,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
59.85,9381.680519,12844.37456,16173.56761,18059.31845,18904.85324,19543.25467,19902.87815,20134.80619,20225.65252,20257.84008,20267.32691,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
61.95,9402.606392,12865.30043,16192.5774,18069.57797,18913.1889,19549.2763,19906.85304,20136.86256,20230.08813,20261.74029,20271.22712,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
